	full_name	scene	actor	obj	action	direct	dis	intensity	video_fn
1	man_man_stand_front_handsbehindback_1_0_2_0.2		man	man	stand_front_handsbehindback_1	0	2	0.2	
2	man_man_stand_front_handsbehindback_1_0_2_0.6		man	man	stand_front_handsbehindback_1	0	2	0.6	
3	man_man_stand_front_handsbehindback_1_0_2_1.0		man	man	stand_front_handsbehindback_1	0	2	1.0	
4	man_man_stand_front_handsbehindback_1_0_4_0.2		man	man	stand_front_handsbehindback_1	0	4	0.2	
5	man_man_stand_front_handsbehindback_1_0_4_0.6		man	man	stand_front_handsbehindback_1	0	4	0.6	
6	man_man_stand_front_handsbehindback_1_0_4_1.0		man	man	stand_front_handsbehindback_1	0	4	1.0	
7	man_man_stand_front_handsbehindback_1_0_8_0.2		man	man	stand_front_handsbehindback_1	0	8	0.2	
8	man_man_stand_front_handsbehindback_1_0_8_0.6		man	man	stand_front_handsbehindback_1	0	8	0.6	
9	man_man_stand_front_handsbehindback_1_0_8_1.0		man	man	stand_front_handsbehindback_1	0	8	1.0	
10	man_man_stand_front_give_1_0_2_0.2		man	man	stand_front_give_1	0	2	0.2	
11	man_man_stand_front_give_1_0_2_0.6		man	man	stand_front_give_1	0	2	0.6	
12	man_man_stand_front_give_1_0_2_1.0		man	man	stand_front_give_1	0	2	1.0	
13	man_man_stand_front_give_1_0_4_0.2		man	man	stand_front_give_1	0	4	0.2	
14	man_man_stand_front_give_1_0_4_0.6		man	man	stand_front_give_1	0	4	0.6	
15	man_man_stand_front_give_1_0_4_1.0		man	man	stand_front_give_1	0	4	1.0	
16	man_man_stand_front_give_1_0_8_0.2		man	man	stand_front_give_1	0	8	0.2	
17	man_man_stand_front_give_1_0_8_0.6		man	man	stand_front_give_1	0	8	0.6	
18	man_man_stand_front_give_1_0_8_1.0		man	man	stand_front_give_1	0	8	1.0	
19	man_man_kneel_front_beg_1_0_2_0.2		man	man	kneel_front_beg_1	0	2	0.2	
20	man_man_kneel_front_beg_1_0_2_0.6		man	man	kneel_front_beg_1	0	2	0.6	
21	man_man_kneel_front_beg_1_0_2_1.0		man	man	kneel_front_beg_1	0	2	1.0	
22	man_man_kneel_front_beg_1_0_4_0.2		man	man	kneel_front_beg_1	0	4	0.2	
23	man_man_kneel_front_beg_1_0_4_0.6		man	man	kneel_front_beg_1	0	4	0.6	
24	man_man_kneel_front_beg_1_0_4_1.0		man	man	kneel_front_beg_1	0	4	1.0	
25	man_man_kneel_front_beg_1_0_8_0.2		man	man	kneel_front_beg_1	0	8	0.2	
26	man_man_kneel_front_beg_1_0_8_0.6		man	man	kneel_front_beg_1	0	8	0.6	
27	man_man_kneel_front_beg_1_0_8_1.0		man	man	kneel_front_beg_1	0	8	1.0	
28	man_man_stand_front_feed_1_0_2_0.2		man	man	stand_front_feed_1	0	2	0.2	
29	man_man_stand_front_feed_1_0_2_0.6		man	man	stand_front_feed_1	0	2	0.6	
30	man_man_stand_front_feed_1_0_2_1.0		man	man	stand_front_feed_1	0	2	1.0	
31	man_man_stand_front_feed_1_0_4_0.2		man	man	stand_front_feed_1	0	4	0.2	
32	man_man_stand_front_feed_1_0_4_0.6		man	man	stand_front_feed_1	0	4	0.6	
33	man_man_stand_front_feed_1_0_4_1.0		man	man	stand_front_feed_1	0	4	1.0	
34	man_man_stand_front_feed_1_0_8_0.2		man	man	stand_front_feed_1	0	8	0.2	
35	man_man_stand_front_feed_1_0_8_0.6		man	man	stand_front_feed_1	0	8	0.6	
36	man_man_stand_front_feed_1_0_8_1.0		man	man	stand_front_feed_1	0	8	1.0	
37	man_man_stand_front_dance_2_0_2_0.2		man	man	stand_front_dance_2	0	2	0.2	
38	man_man_stand_front_dance_2_0_2_0.6		man	man	stand_front_dance_2	0	2	0.6	
39	man_man_stand_front_dance_2_0_2_1.0		man	man	stand_front_dance_2	0	2	1.0	
40	man_man_stand_front_dance_2_0_4_0.2		man	man	stand_front_dance_2	0	4	0.2	
41	man_man_stand_front_dance_2_0_4_0.6		man	man	stand_front_dance_2	0	4	0.6	
42	man_man_stand_front_dance_2_0_4_1.0		man	man	stand_front_dance_2	0	4	1.0	
43	man_man_stand_front_dance_2_0_8_0.2		man	man	stand_front_dance_2	0	8	0.2	
44	man_man_stand_front_dance_2_0_8_0.6		man	man	stand_front_dance_2	0	8	0.6	
45	man_man_stand_front_dance_2_0_8_1.0		man	man	stand_front_dance_2	0	8	1.0	
46	man_man_stand_front_eat_1_0_2_0.2		man	man	stand_front_eat_1	0	2	0.2	
47	man_man_stand_front_eat_1_0_2_0.6		man	man	stand_front_eat_1	0	2	0.6	
48	man_man_stand_front_eat_1_0_2_1.0		man	man	stand_front_eat_1	0	2	1.0	
49	man_man_stand_front_eat_1_0_4_0.2		man	man	stand_front_eat_1	0	4	0.2	
50	man_man_stand_front_eat_1_0_4_0.6		man	man	stand_front_eat_1	0	4	0.6	
51	man_man_stand_front_eat_1_0_4_1.0		man	man	stand_front_eat_1	0	4	1.0	
52	man_man_stand_front_eat_1_0_8_0.2		man	man	stand_front_eat_1	0	8	0.2	
53	man_man_stand_front_eat_1_0_8_0.6		man	man	stand_front_eat_1	0	8	0.6	
54	man_man_stand_front_eat_1_0_8_1.0		man	man	stand_front_eat_1	0	8	1.0	
55	man_man_swim_front_deadfloat_1_0_2_0.2		man	man	swim_front_deadfloat_1	0	2	0.2	
56	man_man_swim_front_deadfloat_1_0_2_0.6		man	man	swim_front_deadfloat_1	0	2	0.6	
57	man_man_swim_front_deadfloat_1_0_2_1.0		man	man	swim_front_deadfloat_1	0	2	1.0	
58	man_man_swim_front_deadfloat_1_0_4_0.2		man	man	swim_front_deadfloat_1	0	4	0.2	
59	man_man_swim_front_deadfloat_1_0_4_0.6		man	man	swim_front_deadfloat_1	0	4	0.6	
60	man_man_swim_front_deadfloat_1_0_4_1.0		man	man	swim_front_deadfloat_1	0	4	1.0	
61	man_man_swim_front_deadfloat_1_0_8_0.2		man	man	swim_front_deadfloat_1	0	8	0.2	
62	man_man_swim_front_deadfloat_1_0_8_0.6		man	man	swim_front_deadfloat_1	0	8	0.6	
63	man_man_swim_front_deadfloat_1_0_8_1.0		man	man	swim_front_deadfloat_1	0	8	1.0	
64	man_man_stand_front_throw_1_0_2_0.2		man	man	stand_front_throw_1	0	2	0.2	
65	man_man_stand_front_throw_1_0_2_0.6		man	man	stand_front_throw_1	0	2	0.6	
66	man_man_stand_front_throw_1_0_2_1.0		man	man	stand_front_throw_1	0	2	1.0	
67	man_man_stand_front_throw_1_0_4_0.2		man	man	stand_front_throw_1	0	4	0.2	
68	man_man_stand_front_throw_1_0_4_0.6		man	man	stand_front_throw_1	0	4	0.6	
69	man_man_stand_front_throw_1_0_4_1.0		man	man	stand_front_throw_1	0	4	1.0	
