,full_name,scene,actor,obj,action,direct,dis,intensity,video_fn
1,castle_man_man_stand_front_push_4_0_2_0.2,castle,man,man,stand_front_push_4,0,2,0.2,928853720412971008_858006639337472_Kai_2022-08-26_17-06-41_1920x1080
2,castle_man_man_stand_front_push_4_0_2_0.6,castle,man,man,stand_front_push_4,0,2,0.6,928853720412971008_858006639337472_Kai_2022-08-26_22-44-54_1920x1080
3,castle_man_man_stand_front_push_4_0_2_1.0,castle,man,man,stand_front_push_4,0,2,1,928853720412971008_858006639337472_Kai_2022-08-26_22-45-19_1920x1080
4,castle_man_man_stand_front_push_4_0_4_0.2,castle,man,man,stand_front_push_4,0,4,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-08-21_1920x1080
5,castle_man_man_stand_front_push_4_0_4_0.6,castle,man,man,stand_front_push_4,0,4,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-08-38_1920x1080
6,castle_man_man_stand_front_push_4_0_4_1.0,castle,man,man,stand_front_push_4,0,4,1,928853720412971008_858006639337472_Kai_2022-08-26_23-09-10_1920x1080
7,castle_man_man_stand_front_push_4_0_8_0.2,castle,man,man,stand_front_push_4,0,8,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-13-22_1920x1080
8,castle_man_man_stand_front_push_4_0_8_0.6,castle,man,man,stand_front_push_4,0,8,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-12-34_1920x1080
9,castle_man_man_stand_front_push_4_0_8_1.0,castle,man,man,stand_front_push_4,0,8,1,928853720412971008_858006639337472_Kai_2022-08-26_23-12-53_1920x1080
10,castle_man_man_stand_front_push_4_90_2_0.2,castle,man,man,stand_front_push_4,90,2,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-15-06_1920x1080
11,castle_man_man_stand_front_push_4_90_2_0.6,castle,man,man,stand_front_push_4,90,2,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-15-23_1920x1080
12,castle_man_man_stand_front_push_4_90_2_1.0,castle,man,man,stand_front_push_4,90,2,1,928853720412971008_858006639337472_Kai_2022-08-26_23-15-43_1920x1080
13,castle_man_man_stand_front_push_4_90_4_0.2,castle,man,man,stand_front_push_4,90,4,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-16-18_1920x1080
14,castle_man_man_stand_front_push_4_90_4_0.6,castle,man,man,stand_front_push_4,90,4,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-16-37_1920x1080
15,castle_man_man_stand_front_push_4_90_4_1.0,castle,man,man,stand_front_push_4,90,4,1,928853720412971008_858006639337472_Kai_2022-08-26_23-16-54_1920x1080
16,castle_man_man_stand_front_push_4_90_8_0.2,castle,man,man,stand_front_push_4,90,8,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-17-19_1920x1080
17,castle_man_man_stand_front_push_4_90_8_0.6,castle,man,man,stand_front_push_4,90,8,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-17-29_1920x1080
18,castle_man_man_stand_front_push_4_90_8_1.0,castle,man,man,stand_front_push_4,90,8,1,928853720412971008_858006639337472_Kai_2022-08-26_23-17-38_1920x1080
19,castle_man_man_stand_front_push_4_180_2_0.2,castle,man,man,stand_front_push_4,180,2,0.2,928853720412971008_858006639337472_Kai_2022-08-26_23-19-13_1920x1080
20,castle_man_man_stand_front_push_4_180_2_0.6,castle,man,man,stand_front_push_4,180,2,0.6,928853720412971008_858006639337472_Kai_2022-08-26_23-19-23_1920x1080
